SearchMode,TerminalSolver,ModelName,ModelPath,Simulations,Episodes,TotalSteps,Wins0,Alive0,Wins1,Alive1,Wins2,Alive2,Wins3,Alive3,Draws,NotDone,Time,EvalInfo
OnePlayer,false,dummy-1,/data/model-dummy-1/onnx,0,1000,213403,134,142,275,286,274,287,267,279,31,19,82.1,"168813.000000,0.004105,628.000000,0.000000,2.336954,2.336967:168813.000000,1.000000,1.000000,1.000000,0.000000,0.000000:168813.000000,1.000000,1.000000,1.000000,0.000000,0.000000:168813.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,dummy-2,/data/model-dummy-2/onnx,0,1000,225297,99,109,298,313,263,286,281,295,32,27,79.276,"167653.000000,0.003871,540.000000,0.000000,1.740586,1.740597:167653.000000,1.000000,1.000000,1.000000,0.000000,0.000000:167653.000000,1.000000,1.000000,1.000000,0.000000,0.000000:167653.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,dummy-2,/data/model-dummy-2/onnx,0,1000,224778,104,115,281,296,297,312,255,274,37,26,79.869,"170040.000000,0.003899,600.000000,0.000000,2.118092,2.118105:170040.000000,1.000000,1.000000,1.000000,0.000000,0.000000:170040.000000,1.000000,1.000000,1.000000,0.000000,0.000000:170040.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,dummy-1,/data/model-dummy-1/onnx,0,1000,223034,105,115,293,304,269,281,277,293,36,20,82.264,"169871.000000,0.003968,562.000000,0.000000,1.860655,1.860666:169871.000000,1.000000,1.000000,1.000000,0.000000,0.000000:169871.000000,1.000000,1.000000,1.000000,0.000000,0.000000:169871.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,dummy-4,/data/model-dummy-4/onnx,0,1000,172088,0,0,294,309,321,338,317,335,43,25,6.243,"15062.000000,0.036649,522.000000,0.000000,18.093863,18.095065:15062.000000,0.873191,1.000000,0.000000,0.110729,0.110736:15062.000000,0.873191,1.000000,0.000000,0.110729,0.110736:15062.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,dummy-4,/data/model-dummy-4/onnx,0,1000,177920,1,1,343,367,283,303,316,336,30,27,6.431,"15331.000000,0.036788,537.000000,0.000000,18.811901,18.813128:15331.000000,0.882199,1.000000,0.000000,0.103924,0.103930:15331.000000,0.882199,1.000000,0.000000,0.103924,0.103930:15331.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,dummy-3,/data/model-dummy-3/onnx,0,1000,218605,126,132,301,323,230,244,275,287,44,24,74.404,"166907.000000,0.003703,528.000000,0.000000,1.671396,1.671406:166907.000000,1.000000,1.000000,1.000000,0.000000,0.000000:166907.000000,1.000000,1.000000,1.000000,0.000000,0.000000:166907.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,dummy-3,/data/model-dummy-3/onnx,0,1000,228997,94,103,275,289,280,299,281,296,44,26,75.885,"167894.000000,0.003955,511.000000,0.000000,1.557157,1.557167:167894.000000,1.000000,1.000000,1.000000,0.000000,0.000000:167894.000000,1.000000,1.000000,1.000000,0.000000,0.000000:167894.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-3,/data/model-sl-3/onnx,50,1000,235481,503,511,98,110,101,111,113,123,166,19,1405.68,"202727.000000,6.398881,758.000000,1.000000,4.572972,4.572994:202727.000000,52.937137,79.000000,0.000000,44.304690,44.304908:202727.000000,5.217638,18.000000,1.000000,2.028741,2.028751:202727.000000,5.447222,18.000000,2.000000,2.190705,2.190716"
TwoPlayer,false,sl-1,/data/model-sl-1/onnx,50,1000,239645,493,500,111,119,118,122,96,104,169,13,1477.67,"208972.000000,6.535632,611.000000,1.000000,3.610396,3.610413:208972.000000,52.837442,75.000000,0.000000,44.502096,44.502309:208972.000000,5.371538,20.000000,1.000000,2.196220,2.196230:208972.000000,5.610670,21.000000,2.000000,2.346015,2.346027"
TwoPlayer,false,sl-0,/data/model-sl-0/onnx,50,1000,252883,507,515,103,110,108,119,98,112,165,19,1509.32,"218278.000000,6.379658,671.000000,0.000000,3.764449,3.764466:218278.000000,52.973919,76.000000,0.000000,41.589132,41.589322:218278.000000,5.280977,19.000000,1.000000,2.132933,2.132943:218278.000000,5.506680,19.000000,2.000000,2.301944,2.301955"
